datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,AE,AECO,1283.830,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4245.816,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2927.874,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPKPT,643.149,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPOPT,7023.568,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,AP,AP,5222.216,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,BC,BC,3612.035,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,CE,CE,10651.968,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,DAY,DAY,1811.642,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,DEOK,DEOK,2855.171,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,16328.600,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,2126.206,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,DUQ,DUQ,1367.028,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,DPL,EASTON,26.637,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1620.828,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,JC,JC,2531.912,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,ME,ME,1670.076,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,ATSI,OE,6253.898,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,OVEC,OVEC,34.000,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,WEST,ATSI,PAPWR,465.159,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,PE,PE,4275.720,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,3005.071,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,PL,PLCO,4111.022,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,PN,PN,1656.355,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,PS,PS,5134.578,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,RECO,RECO,153.657,False
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,PEP,SMECO,400.790,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,PL,UGI,96.128,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RFC,MIDATL,AE,VMEU,92.538,True
8/1/2025 4:00:00 AM,8/1/2025 12:00:00 AM,RTO,RTO,RTO,RTO,91627.472,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,AE,AECO,1188.301,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPAPT,4045.204,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2870.977,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPKPT,615.952,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6775.849,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,AP,AP,4961.782,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,BC,BC,3362.632,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,CE,CE,10109.769,True
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,DAY,DAY,1706.612,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,DEOK,DEOK,2684.760,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,SERC,SOUTH,DOM,DOM,15649.471,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1999.529,False
8/1/2025 5:00:00 AM,8/1/2025 1:00:00 AM,RFC,WEST,DUQ,DUQ,1295.212,False
